factor	question	text	source	options	pattern	structure
1	170	DOG avoids or is fearful of unfamiliar adults	CDTT	Strongly Agree to Strongly Disagree	0.9189938299243954	0.8829678018888996
1	42	DOG is friendly towards unfamiliar people	DPQ	Strongly Agree to Strongly Disagree	-0.885711745949333	-0.8087460470956057
1	165	DOG Displays friendly tail wagging when greeting an unfamiliar person	CDTT	Strongly Agree to Strongly Disagree	-0.8734884595404905	-0.7845269943003891
1	166	DOG accepts being petted by an unfamiliar person	CDTT	Strongly Agree to Strongly Disagree	-0.8621094654834676	-0.8122573827904417
1	46	DOG behaves fearfully towards unfamiliar people	DPQ	Strongly Agree to Strongly Disagree	0.8593194548816778	0.8578347822993424
1	167	DOG tucks tail between legs and/or flattens ears when approached by an unfamiliar person	CDTT	Strongly Agree to Strongly Disagree	0.6612163963313289	0.6821533852315802
1	12	DOG is shy	DPQ	Strongly Agree to Strongly Disagree	0.6379639667787653	0.7215817470826951
1	45	DOG is a people person	NA	Strongly Agree to Strongly Disagree	-0.611473549690936	-0.703973279091641
1	171	DOG avoids or is fearful of unfamiliar children	CDTT	Strongly Agree to Strongly Disagree	0.5894082434472466	0.6768932292907249
1	174	DOG is nervous around people with certain characteristics (beards, hats, sunglasses, bald, tall )	NA	Strongly Agree to Strongly Disagree	0.5484150848651836	0.5903894837125178
1	175	DOG is nervous around people in certain environments (while in car or with workers in home, etc. )	NA	Strongly Agree to Strongly Disagree	0.5271189770369107	0.6572542907303918
1	48	DOG behaves aggressively towards unfamiliar people	DPQ	Strongly Agree to Strongly Disagree	0.5084971991735117	0.5634112490954696
1	50	DOG must greet everyone who comes to the door	NA	Strongly Agree to Strongly Disagree	-0.4835656059949006	-0.4976552186044856
1	41	DOG doesn't like to be approached or hugged	DIAS	Strongly Agree to Strongly Disagree	0.3588736857342305	0.5843005009795056
1	11	DOG is relaxed when greeting people	DPQ	Strongly Agree to Strongly Disagree	-0.3406299029835658	-0.40024917649551855
1	84	DOG is not keen to go into new situations	DIAS	Strongly Agree to Strongly Disagree	0.3222001426400583	0.5930628042846124
1	81	DOG is very interested in and adapts easily to new things and new places	DIAS DPQ	Strongly Agree to Strongly Disagree	-0.30493793163846483	-0.5612447351953007
1	44	DOG behaves aggressively in response to perceived threats from people (e.g., being cornered, having collar reached for)	DPQ	Strongly Agree to Strongly Disagree	0.2608719426942027	0.435658043630865
1	49	DOG seeks companionship from people	DPQ	Strongly Agree to Strongly Disagree	-0.24878232884840595	-0.4064080974153891
1	169	DOG is bold.	DPQL	Strongly Agree to Strongly Disagree	-0.2340904989701297	-0.41885128980444497
1	168	DOG is gentle with small children	CDTT	Strongly Agree to Strongly Disagree	-0.21156574198967876	-0.3338442327998742
1	80	DOG sometimes fails to recognize familiar people or pets	CCDR	Strongly Agree to Strongly Disagree	0.17371572183526834	0.28458273948450324
1	102	DOG is confident	DPQ	Strongly Agree to Strongly Disagree	-0.1721377203754217	-0.5015040687341491
1	88	DOG behaves fearfully during visits to the veterinarian	DPQ	Strongly Agree to Strongly Disagree	0.15930246792164698	0.4669945664823002
1	172	DOG is easily startled by unexpected contact with objects (e.g., tripping, brushing against a door frame ).	DPQL	Strongly Agree to Strongly Disagree	0.1576433389580966	0.36994861132981066
1	104	DOG is anxious	DPQ	Strongly Agree to Strongly Disagree	0.1168592626362073	0.45773370898120963
1	37	DOG walks away or avoids being patted	CCDR	Never to Always	-0.10784817119830212	-0.36163939198187434
1	83	DOG behaves fearfully when groomed (e.g., nails trimmed, brushed, bathed, ears cleaned)	DPQ	Strongly Agree to Strongly Disagree	-0.10215711640976513	0.2417251576074136
1	109	DOG is aloof	DPQ	Strongly Agree to Strongly Disagree	0.08811668352774141	0.21207599489605322
1	173	DOG is quick to recover after being startled or frightened.	DPQL	Strongly Agree to Strongly Disagree	-0.08494733599061974	-0.3561333333012184
1	75	DOG is friendly towards other dogs	DPQ	Strongly Agree to Strongly Disagree	-0.07299718044957093	-0.27408547318686793
1	82	DOG exhibits fearful behaviors when HE is restrained	DPQ	Strongly Agree to Strongly Disagree	0.06258680044564968	0.42368751440936714
1	77	DOG behaves fearfully towards other dogs	DPQ	Strongly Agree to Strongly Disagree	0.046659128876667205	0.3728552957945124
1	86	DOG is highly sensitive to noise	NA	Strongly Agree to Strongly Disagree	0.0355647568703237	0.27124868887186776
1	1	DOG enjoys life	CHQLS	Strongly Agree to Strongly Disagree	0.03475083065774803	-0.22293470187184228
1	74	DOG avoids other dogs	DPQ	Strongly Agree to Strongly Disagree	0.030291652313111983	0.26235211439708345
1	87	DOG shows aggression when nervous or fearful	DPQ	Strongly Agree to Strongly Disagree	0.025451173528856515	0.33982053273710483
1	85	DOG behaves aggressively during visits to the veterinarian	DPQ	Strongly Agree to Strongly Disagree	0.011014270643039508	0.29307909795099407
