"factor","name","negative","positive","question","source","pattern","structure","text","answers"
1,"Factor 1: Human Sociability","less sociable","highly sociable",46,"DPQ",0.919556697225264,0.820107885809081,"DOG behaves fearfully towards unfamiliar people","Strongly Agree|Agree|Neither Agree Nor Disagree|Disagree|Strongly Disagree"
1,"Factor 1: Human Sociability","less sociable","highly sociable",42,"DPQ",-0.85662080608951,-0.773937091709328,"DOG is friendly towards unfamiliar people","Strongly Agree|Agree|Neither Agree Nor Disagree|Disagree|Strongly Disagree"
1,"Factor 1: Human Sociability","less sociable","highly sociable",45,"MBT",-0.631843697897304,-0.710419258669282,"DOG is a people person","Strongly Agree|Agree|Neither Agree Nor Disagree|Disagree|Strongly Disagree"
1,"Factor 1: Human Sociability","less sociable","highly sociable",12,"DPQ",0.770199799362578,0.709046173574386,"DOG is shy","Strongly Agree|Agree|Neither Agree Nor Disagree|Disagree|Strongly Disagree"
1,"Factor 1: Human Sociability","less sociable","highly sociable",41,"DIAS",0.433968709771727,0.569315511754254,"DOG doesn't like to be approached or hugged","Strongly Agree|Agree|Neither Agree Nor Disagree|Disagree|Strongly Disagree"
1,"Factor 1: Human Sociability","less sociable","highly sociable",48,"DPQ",0.519753392641255,0.530063783820773,"DOG behaves aggressively towards unfamiliar people","Strongly Agree|Agree|Neither Agree Nor Disagree|Disagree|Strongly Disagree"
1,"Factor 1: Human Sociability","less sociable","highly sociable",50,"MBT",-0.526965463626311,-0.52351500698408,"DOG must greet everyone who comes to the door","Strongly Agree|Agree|Neither Agree Nor Disagree|Disagree|Strongly Disagree"
1,"Factor 1: Human Sociability","less sociable","highly sociable",84,"DIAS",NA,0.470952747314406,"DOG is not keen to go into new situations","Strongly Agree|Agree|Neither Agree Nor Disagree|Disagree|Strongly Disagree"
1,"Factor 1: Human Sociability","less sociable","highly sociable",81,"DIAS DPQ",NA,-0.451483527872009,"DOG is very interested in and adapts easily to new things and new places","Strongly Agree|Agree|Neither Agree Nor Disagree|Disagree|Strongly Disagree"
1,"Factor 1: Human Sociability","less sociable","highly sociable",49,"DPQ",NA,-0.432043253084486,"DOG seeks companionship from people","Strongly Agree|Agree|Neither Agree Nor Disagree|Disagree|Strongly Disagree"
1,"Factor 1: Human Sociability","less sociable","highly sociable",102,"DPQ",NA,-0.414475408785401,"DOG is confident","Strongly Agree|Agree|Neither Agree Nor Disagree|Disagree|Strongly Disagree"
1,"Factor 1: Human Sociability","less sociable","highly sociable",44,"DPQ",NA,0.385029478693041,"DOG behaves aggressively in response to perceived threats from people (e.g., being cornered, having collar reached for)","Strongly Agree|Agree|Neither Agree Nor Disagree|Disagree|Strongly Disagree"
1,"Factor 1: Human Sociability","less sociable","highly sociable",37,"CCDR",NA,-0.358493480599087,"DOG walks away or avoids being patted","Never|Rarely|Sometimes|Often|Always"
1,"Factor 1: Human Sociability","less sociable","highly sociable",88,"DPQ",NA,0.357711373072585,"DOG behaves fearfully during visits to the veterinarian","Strongly Agree|Agree|Neither Agree Nor Disagree|Disagree|Strongly Disagree"
1,"Factor 1: Human Sociability","less sociable","highly sociable",104,"DPQ",NA,0.345413763191948,"DOG is anxious","Strongly Agree|Agree|Neither Agree Nor Disagree|Disagree|Strongly Disagree"
1,"Factor 1: Human Sociability","less sociable","highly sociable",11,"DPQ",NA,-0.335740157632516,"DOG is relaxed when greeting people","Strongly Agree|Agree|Neither Agree Nor Disagree|Disagree|Strongly Disagree"
1,"Factor 1: Human Sociability","less sociable","highly sociable",82,"DPQ",NA,0.312397074320598,"DOG exhibits fearful behaviors when HE is restrained","Strongly Agree|Agree|Neither Agree Nor Disagree|Disagree|Strongly Disagree"
2,"Factor 2: Arousal Level","aroused","composed",108,"DPQ",-0.758835878030314,-0.707350053192643,"DOG tends to be calm","Strongly Agree|Agree|Neither Agree Nor Disagree|Disagree|Strongly Disagree"
2,"Factor 2: Arousal Level","aroused","composed",105,"DIAS",0.741805723337966,0.668371838172113,"DOG is considered to be very impulsive","Strongly Agree|Agree|Neither Agree Nor Disagree|Disagree|Strongly Disagree"
2,"Factor 2: Arousal Level","aroused","composed",14,"DIAS",0.683516179536107,0.59584191546603,"DOG does not think before HE acts","Strongly Agree|Agree|Neither Agree Nor Disagree|Disagree|Strongly Disagree"
2,"Factor 2: Arousal Level","aroused","composed",8,"DIAS",-0.578761606845137,-0.58710226524604,"DOG calms down very quickly after being excited","Strongly Agree|Agree|Neither Agree Nor Disagree|Disagree|Strongly Disagree"
2,"Factor 2: Arousal Level","aroused","composed",47,"DIAS",0.543572666867299,0.550919111260905,"DOG seems to get excited for no reason","Strongly Agree|Agree|Neither Agree Nor Disagree|Disagree|Strongly Disagree"
2,"Factor 2: Arousal Level","aroused","composed",13,"DPQ",0.542510866844109,0.532793143878139,"DOG is boisterous","Strongly Agree|Agree|Neither Agree Nor Disagree|Disagree|Strongly Disagree"
2,"Factor 2: Arousal Level","aroused","composed",10,"DIAS",0.560623904586491,0.530988162508174,"DOG is not very patient","Strongly Agree|Agree|Neither Agree Nor Disagree|Disagree|Strongly Disagree"
2,"Factor 2: Arousal Level","aroused","composed",6,"DPQ",0.445896922382421,0.50689907967747,"DOG seeks constant activity","Strongly Agree|Agree|Neither Agree Nor Disagree|Disagree|Strongly Disagree"
